URL, SIZE, #OUTLINKS, Content-Type 
https://www.reuters.com/article/us-safrica-economy-poll/one-in-three-chance-of-south-africa-recession-this-year-reuters-poll-iduskcn1l80g8,200156,69,text/html
https://www.reuters.com/article/us-autos-summit-atkearney/gm-and-ford-on-track-for-further-savings-analyst-idustre6af0i920101117,200750,68,text/html
https://www.reuters.com/investigates/special-report/assets/section-leads/reuters-investigates-2016/cheat-sheet/college-home.jpg?v=533116030119,48035,0,image/jpeg
https://www.reuters.com/journalists/hugo-greenhalgh,131805,148,text/html
https://www.reuters.com/article/global-forex/forex-dollar-higher-as-euro-sags-aussie-firms-on-china-data-idusl3n2091ja,198066,65,text/html
https://www.reuters.com/article/us-usa-fema-long/u-s-emergency-management-chief-brock-long-to-resign-iduskcn1q22q7,198215,68,text/html
https://www.reuters.com/article/us-autos-summit-codaautomotive/coda-delays-electric-car-production-idustre6af5c220101117,199134,67,text/html
https://www.reuters.com/article/us-investment-summit-deshaw/de-shaw-shuns-high-speed-trading-label-bets-on-japan-idusbre8as1jb20121129,201216,66,text/html
https://www.reuters.com/sectors/technology?smbl=spdr,152250,189,text/html
https://www.reuters.com/journalists/richard-martin,131489,148,text/html
https://www.reuters.com/finance/stocks/overview/airg.oq,120888,145,text/html
https://www.reuters.com/investigates/static/v-3/en/favicon.ico?v=095819200418,546,0,image/x-icon
https://www.reuters.com/finance/stocks/company-officers/icbk.bo,169780,180,text/html
https://www.reuters.com/article/us-cee-summit-cez/cez-says-focus-on-renewable-new-energy-investments-not-ruling-out-bigger-deals-iduskbn18l1li,202721,70,text/html
https://www.reuters.com/assets/iframe/yovideo?videoid=514659973,5943,1,text/html
https://www.reuters.com/journalists/joshua-schneyer?page=1&pagesize=10&view=page,132289,149,text/html
https://www.reuters.com/finance/stocks/company-profile/7735.t,114963,149,text/html
https://www.reuters.com/journalists/richard-martin?page=2&pagesize=10&view=page,131538,149,text/html
https://www.reuters.com/video/2018/06/14/three-lions-have-kickabout-to-roar-engla?newschannel&videoid=435846255,294406,210,text/html
https://www.reuters.com/assets/iframe/yovideo?videoid=500547142,5951,1,text/html
https://www.reuters.com/finance/stocks/analyst-research/sxt.n,120093,146,text/html
https://www.reuters.com/finance/stocks/abi.br/key-developments/article/3798087,113943,145,text/html
https://www.reuters.com/finance/stocks/officer-profile/brby.l/2738761,116246,144,text/html
https://www.reuters.com/video/2019/02/14/the-elusive-black-panther-is-spotted-in?channelname=reuters%2bnow&videochannel=118262&videoid=514789814,282568,193,text/html
https://www.reuters.com/article/india-oyo/softbank-backed-indian-hotel-start-up-oyo-sees-3-fold-revenue-jump-idusl3n20016a,193427,64,text/html
https://www.reuters.com/article/us-volkswagen-skoda-iduskcn1q318f,193956,66,text/html
https://www.reuters.com/article/us-soccer-france-thuram-iduskcn1nj2yy,204589,69,text/html
https://www.reuters.com/finance/stocks/overview/601212.ss,119711,144,text/html
https://www.reuters.com/article/us-usa-trump-mideast/trump-adviser-kushner-to-visit-middle-east-on-peace-plans-economic-part-iduskcn1pw2rf,201212,67,text/html
https://www.reuters.com/article/us-euskaltel-m-a-orange/orange-considers-potential-bid-for-euskaltel-source-iduskcn1pb2e3,196143,71,text/html
https://www.reuters.com/investigates/special-report/assets/baby-opioids-pennsylvania/rtr4ocxz.jpg?v=322416211117,4637,0,image/jpeg
https://www.reuters.com/article/us-nordic-summit-maersk/maersk-line-sees-shipping-overcapacity-for-five-years-idusbre9910lb20131002,200766,68,text/html
https://www.reuters.com/finance/stocks/company-news/wre.n,126395,139,text/html
